Time [s], Analyzer Name, Decoded Protocol Result
0.895004240000000,Async Serial,'225' (0xE1)
0.895564400000000,Async Serial,'225' (0xE1)
0.909020840000000,Async Serial,'227' (0xE3)
0.909556370000000,Async Serial,'3' (0x03)
0.910088380000000,Async Serial,'3' (0x03)
0.910620390000000,Async Serial,'1' (0x01)
0.911152390000000,Async Serial,\t (0x09)
0.911684400000000,Async Serial,'0' (0x00)
0.912216410000000,Async Serial,'2' (0x02)
0.912748420000000,Async Serial,'4' (0x04)
0.913280420000000,Async Serial,'0' (0x00)
0.913812410000000,Async Serial,'1' (0x01)
0.914344420000000,Async Serial,'3' (0x03)
0.914876430000000,Async Serial,'1' (0x01)
0.915408430000000,Async Serial,@ (0x40)
0.915940440000000,Async Serial,'0' (0x00)
1.071019510000000,Async Serial,'225' (0xE1)
1.071550400000000,Async Serial,'225' (0xE1)
